Time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gesture
0.682,-5.225543,-0.026790388,-4.3025126,-0.58976597,0.5530346,-0.8962859,str_des
0.692,-5.8702745,-0.34733722,-4.769136,-0.6129788,0.33312315,-0.69531125,str_des
0.702,-6.032854,-0.62721366,-5.207249,-0.51401865,0.24821286,-0.46501505,str_des
0.713,-5.348915,-0.6291808,-6.479374,-0.39306736,0.13947886,-0.21883637,str_des
0.722,-3.2347393,0.1783163,-8.412741,-0.3466416,-0.13968655,-0.06795265,str_des
0.732,-1.5898991,0.6895517,-8.932894,-0.31915265,-0.5104818,0.018790212,str_des
0.742,-0.15683556,0.345771,-6.405846,-0.1829297,-0.75849307,0.14768277,str_des
0.752,1.6093645,-0.039655134,-3.17368,0.046755627,-0.88005525,0.35110092,str_des
0.762,4.5674286,-0.3964558,0.051430702,0.3075951,-0.86967057,0.55268645,str_des
0.773,8.907748,-0.7856255,3.990874,0.52139795,-0.5691248,0.59117097,str_des
0.782,11.822776,-0.92609453,6.1195455,0.5812627,2.02E-04,0.50992584,str_des
0.792,13.661333,-0.059666246,5.639271,0.5238414,0.61534286,0.32972065,str_des
0.802,13.449384,0.83117723,3.6409214,0.43709853,1.0747136,0.092094034,str_des
0.813,11.122851,1.0962656,1.9477596,0.30331904,1.3386073,-0.120487064,str_des
0.823,7.3557158,0.3874068,1.2587204,0.14877012,1.3715941,-0.1724106,str_des
0.833,4.3047075,0.018331781,1.429502,0.102344364,1.2353711,-0.107048035,str_des
0.842,2.0255089,-0.018886775,1.385911,0.016212365,1.0905961,-0.03130074,str_des
0.852,0.4379797,0.3869003,0.42202687,-0.061367523,0.95376223,0.016957615,str_des
0.862,-1.324358,0.2658312,-0.08493543,-0.050982814,0.8065437,0.08537452,str_des
0.873,-2.527256,0.062151916,-0.9078326,-0.022883011,0.5890757,0.1366872,str_des
0.883,-3.8027282,-0.25973114,-1.9357588,0.015601499,0.25432155,0.19105421,str_des
0.893,-4.7603273,-0.21964082,-1.5762422,0.124946386,-0.09631512,0.20510411,str_des
0.902,-4.4127293,0.22112873,-0.63608503,0.30942768,-0.4127433,0.16845219,str_des
0.912,-3.8146214,0.4579805,0.72859955,0.4884112,-0.66380894,0.13057855,str_des
0.922,-3.1959915,0.4744094,1.878988,0.5659911,-0.7114564,0.17150652,str_des
0.936,-2.2064137,0.49600834,3.2788012,0.5091806,-0.591116,0.24053429,str_des
0.943,-1.6763506,0.4369351,4.3336062,0.4285464,-0.35226765,0.31383812,str_des
0.953,-1.3821678,0.35012335,4.739953,0.3845641,-0.05905234,0.39508322,str_des
0.963,-1.7696629,0.09895109,3.9157875,0.3900619,0.19628933,0.46594357,str_des
0.973,-2.495409,-0.50327104,2.2615402,0.4199943,0.4045944,0.5832297,str_des
0.982,-3.0493207,-1.0612757,0.6466608,0.43709853,0.40948132,0.6485923,str_des
0.992,-3.5725198,-1.4199756,-0.5714104,0.3424144,0.34839478,0.681579,str_des
1.002,-3.9879022,-1.4589994,-0.76793766,0.2617802,0.26287365,0.71273315,str_des
1.012,-4.170987,-1.1318218,-1.0800905,0.25200635,0.1596374,0.75976974,str_des
1.022,-4.033187,-0.5887991,-1.526052,0.27094316,-0.037672058,0.7744305,str_des
1.036,-3.9609451,0.09149343,-2.0870733,0.2513955,-0.28568333,0.7713762,str_des
1.042,-3.6185112,0.7509645,-2.1133513,0.22635001,-0.46527773,0.735946,str_des
1.052,-2.2902412,1.4317641,-2.4733155,0.19641761,-0.5361381,0.63515323,str_des
1.062,-0.39373493,2.267395,-3.8263237,0.13105503,-0.5159795,0.4427307,str_des
1.072,1.1312351,2.4432983,-4.457717,0.12433551,-0.5312512,0.2637472,str_des
1.082,2.6753054,1.9536928,-3.7758884,0.29232347,-0.5679031,0.12874596,str_des
1.092,4.1855507,1.4579072,-3.5857625,0.5501086,-0.61493975,-0.009920456,str_des
1.102,5.1998415,0.538181,-4.7861214,0.6893859,-0.6961848,-0.16691282,str_des
1.112,6.115795,-0.07341623,-6.1745634,0.60875165,-0.7786516,-0.38010478,str_des
1.122,7.0979233,-0.44699675,-5.131797,0.4004466,-0.70290434,-0.5047213,str_des
1.132,9.419832,-0.8045374,-3.149013,0.3772337,-0.74138886,-0.651329,str_des
1.142,11.136666,-2.923734,-0.9641783,0.5592716,-0.95580256,-0.6476638,str_des
1.152,11.706378,-5.031324,1.2418056,0.66006434,-0.72123027,-0.5120517,str_des
1.162,10.976158,-5.1454315,3.6058967,0.39800316,0.22622173,-0.20478648,str_des
1.172,4.570751,-2.7067583,4.206382,0.14693753,0.8920648,0.035283573,str_des
1.182,1.6336002,-1.701117,4.3466763,0.3179798,1.0179031,0.17822604,str_des
1.192,-0.5786867,-0.88856685,1.8812251,0.6044756,0.99591196,0.36820513,str_des
1.202,-1.2792926,0.56569624,-0.79854727,0.7077118,0.8419739,0.50137377,str_des
1.212,-1.3282781,1.3732035,-3.157978,0.6881641,0.560365,0.51298016,str_des
1.223,-1.2973962,1.4954774,-4.3899994,0.59286916,0.21828048,0.43967637,str_des
1.233,-1.4873075,1.6366812,-3.9936357,0.44565064,-0.21787731,0.3358293,str_des
1.243,-1.42489,1.2236913,-1.5058668,0.32592106,-0.50192964,0.25580594,str_des
1.252,-1.6846881,-0.115864515,0.14937115,0.26972145,-0.6259353,0.21548882,str_des
1.262,-1.4519653,-0.7621578,0.45899034,0.20680232,-0.7230629,0.20449324,str_des
1.273,-1.1049013,-1.0173162,0.59152675,0.105398685,-0.66686326,0.19105421,str_des
1.283,-0.74742603,-0.87299746,1.4942667,0.050420817,-0.4884906,0.13241115,str_des
1.293,-0.6973305,-0.5391519,2.076566,0.10967475,-0.31256142,0.024898864,str_des
1.303,-1.4157257,-0.44575846,1.6452405,0.13777456,-0.18244712,-0.07467218,str_des
1.312,-2.0569277,-0.29235944,0.681108,0.0736337,-0.09998031,-0.1675237,str_des
1.322,-2.5555892,-0.23145607,0.19545841,-0.05892406,-0.018124372,-0.25243396,str_des
1.332,-2.5820632,-0.046274543,0.6852584,-0.17193413,0.12726155,-0.3184074,str_des
1.345,-2.533093,0.062967926,0.70826864,-0.35030678,0.22561087,-0.4277523,str_des
1.352,-2.9056773,0.42778498,2.2571712,-0.4242215,0.36488816,-0.48334104,str_des
1.362,-2.8429303,1.1839813,2.9321394,-0.44010398,0.53165436,-0.5432058,str_des
1.372,-3.0909867,1.6582094,2.6974099,-0.48286453,0.6929228,-0.5926859,str_des
1.382,-3.4128723,1.8308058,2.058365,-0.53417724,0.79127204,-0.6189531,str_des
1.392,-3.619937,1.708911,1.1595349,-0.57082915,0.8193719,-0.6220074,str_des
1.402,-3.698372,1.3352404,0.10805869,-0.6319156,0.7845525,-0.6207857,str_des
1.412,-3.5176783,0.8586027,-1.3096237,-0.67040014,0.66665554,-0.6336139,str_des
1.422,-3.3340387,0.44070613,-2.582961,-0.6820066,0.5493694,-0.64033335,str_des
1.432,-3.5182886,-0.027949207,-3.1561785,-0.67101103,0.46812436,-0.62139654,str_des
1.443,-3.9654584,-0.6017717,-3.5125287,-0.6685676,0.38382497,-0.5480927,str_des
1.452,-4.477113,-1.2799227,-4.4702516,-0.70888466,0.21033923,-0.39476556,str_des
1.462,-3.1227555,-1.0911677,-6.9780607,-0.7699712,-0.05905234,-0.19806695,str_des
1.472,-1.2130747,-0.42314446,-7.5397496,-0.87076396,-0.2704117,-0.06795265,str_des
1.482,0.03886223,0.18301848,-7.6383657,-0.94101346,-0.43290186,-0.049626697,str_des
1.492,0.51928043,0.24075902,-6.463515,-0.9501765,-0.568514,-0.054513615,str_des
1.502,1.4831657,-0.027582128,-3.007043,-0.8273925,-0.5886725,0.021844538,str_des
1.513,2.8994513,-0.30816025,-0.031347036,-0.43888223,-0.34188294,0.08659625,str_des
1.522,3.7434616,-1.4275495,0.9203532,0.010103712,-0.07249138,0.19594114,str_des
1.532,5.928158,-2.5011058,1.7016034,0.29171258,0.13825713,0.31872505,str_des
1.549,8.463943,-2.3923235,3.041009,0.42793554,0.2537107,0.28757092,str_des
1.553,9.701803,-1.0998843,3.520685,0.4462615,0.18651548,0.21732141,str_des
1.563,8.908535,0.17090632,3.5380821,0.28865826,0.28853,0.1843347,str_des
1.573,6.998764,1.5582211,4.044319,0.026597073,0.6092342,0.088428855,str_des
1.583,4.544055,2.1317403,4.064514,-0.14322346,0.786996,-0.053902756,str_des
1.592,2.0678415,1.8986446,4.057807,-0.019828685,0.8077654,-0.1461434,str_des
1.603,0.2982006,0.9953859,1.3966298,0.083407536,0.6758185,-0.1656911,str_des
1.612,-0.9417467,0.5942983,-1.0780554,0.050420817,0.46201572,-0.22738849,str_des
1.622,-1.9437704,0.10902678,-1.4082613,0.043090437,0.2903626,-0.24693619,str_des
1.632,-2.9609895,-0.60785687,-0.75233173,0.13288763,0.07839234,-0.21456032,str_des
1.642,-3.3665147,-0.9771224,-0.5310681,0.22390655,-0.27285516,-0.16019331,str_des
1.653,-2.9698105,-0.8741414,0.16640472,0.27644095,-0.59661376,-0.13453697,str_des
1.663,-1.8208008,-0.21111237,1.0852292,0.2935452,-0.7419997,-0.08200255,str_des
1.673,-0.66623306,0.77977383,2.088092,0.2972104,-0.75727135,0.013292424,str_des
1.682,0.54227257,1.3254168,2.9752676,0.23734559,-0.64853734,0.24236688,str_des
1.692,1.5700483,1.5953263,4.245346,0.15304618,-0.42068455,0.38592023,str_des
1.703,2.5680866,1.7380434,5.805844,0.13288763,-0.025454754,0.46594357,str_des
